omission_id	work_id	canonical_title	creator_display	source_debt_status	evidence_refs	evidence_count	duplicate_risk	boundary_risk	chronology_risk	scope_risk	readiness_status	blocking_reason	next_action
x018_omission_0001	work_candidate_source_broadview_hrotsvitha_abraham	Abraham	Hrotsvitha of Gandersheim	closed_by_independent_external_support	x017_ev_broadview_medieval_drama_hrosvitha_abraham;x017_ev_x043_encyclopedia_com_hrotsvit_abraham	2	none	none	none	none	ready_for_scoring_review	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
x018_omission_0002	work_candidate_source_aap_harper_bury_me_free_land	Bury Me in a Free Land	Frances Ellen Watkins Harper	closed_by_independent_external_support	x017_ev_e012_aap_harper_bury_me_free_land;x017_ev_e012_naal4_v1_harper_bury_me_free_land	2	none	none	none	none	ready_for_scoring_review	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
x018_omission_0003	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	closed_by_independent_external_support	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	3	none	none	none	none	ready_for_scoring_review	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
x018_omission_0004	work_candidate_source_loa_gronniosaw_narrative	Narrative of James Albert Ukawsaw Gronniosaw	James Albert Ukawsaw Gronniosaw	closed_by_independent_external_support	x017_ev_e012_loa_sn_gronniosaw;x017_ev_x043_yale_gronniosaw_narrative	2	none	none	none	none	ready_for_scoring_review	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
x018_omission_0005	work_candidate_source_loa_nat_turner_confessions	The Confessions of Nat Turner	Nat Turner	closed_by_independent_external_support	x017_ev_e012_loa_sn_nat_turner;x017_ev_x043_britannica_nat_turner_confessions	2	none	none	none	none	ready_for_scoring_review	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
x018_omission_0006	work_candidate_source_naal_brooks_maud_martha	Maud Martha	Gwendolyn Brooks	open_selection_only	x017_ev_e012_naal4_v2_brooks_maud_martha	1	none	excerpt_scope_open	none	completion_or_selection_scope_pending	not_ready_for_scoring	Evidence is selection/representation support, not complete-work support.	verify_complete_work_scope_or_record_selection_policy
x018_omission_0007	work_candidate_source_naal_whitehead_nickel_boys	The Nickel Boys	Colson Whitehead	open_selection_only	x017_ev_e012_naal4_v2_whitehead_nickel_boys	1	none	excerpt_scope_open_recent_work_corroboration_required	none	completion_or_selection_scope_pending	not_ready_for_scoring	Evidence is selection/representation support, not complete-work support.	verify_complete_work_scope_or_record_selection_policy
x018_omission_0008	work_candidate_source_philobiblon_curial_e_guelfa	Curial e Guelfa	Anonymous Catalan tradition	closed_by_independent_external_support	x017_ev_philobiblon_biteca_texid_1112_curial;x017_ev_x043_britannica_catalan_lit_curial;x017_ev_x043_enciclopedia_cat_curial	3	none	corroboration_required	none	none	not_ready_for_scoring	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
x018_omission_0009	work_candidate_x030_machiavelli_prince	The Prince	Niccolo Machiavelli	closed_by_independent_external_support	x017_ev_longman2e_volc_140_niccolo_machiavelli_the_prince;x017_ev_nawol5e_volc_109_the_prince	2	none	political_philosophical_prose_conditional_scope_open	none	none	not_ready_for_scoring	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
x018_omission_0010	work_candidate_x030_donne_holy_sonnets	Holy Sonnets	John Donne	closed_by_independent_external_support	x017_ev_longman2e_volc_241_john_donne_holy_sonnets;x017_ev_nawol5e_volc_188_john_donne_holy_sonnets	2	none	poetry_sequence_collection_duplicate_scope_open	none	none	not_ready_for_scoring	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
x018_omission_0011	work_candidate_x030_mahfouz_zaabalawi	Zaabalawi	Naguib Mahfouz	closed_by_independent_external_support	x017_ev_longman2e_volf_179_zaabalawi;x017_ev_nawol5e_volf_188_zaabalawi	2	none	short_story_granularity_conditional_scope_open	none	none	not_ready_for_scoring	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
x018_omission_0012	work_candidate_x030_silko_yellow_woman	Yellow Woman	Leslie Marmon Silko	closed_by_independent_external_support	x017_ev_longman2e_volf_216_leslie_marmon_silko_yellow_woman;x017_ev_nawol5e_volf_194_yellow_woman	2	none	short_story_granularity_conditional_scope_open	none	none	not_ready_for_scoring	Meets minimum accepted independent support-family count.	score_with_duplicate_boundary_and_taxonomy_gates
